"comp","post_bugs","size","complexity","prior_changes","change_churn","prior_bugs","total","minor","major","ownership","entropy","review_rate","review_churn_rate","voters","minor_voters","major_voters","voter_ownership","self_reviews","too_quick","little_discussion","median_revspeed","mean_revspeed","median_discussion","mean_discussion","minor_wrote_no_major_revd","minor_wrote_no_owner_revd","median_voterscore","mean_voterscore","actors","minor_actors","major_actors","actor_ownership","owner_more_author","median_maxexp","mean_maxexp","median_minexp","mean_minexp","subsystem"
"qtactiveqt.examples/activeqt/webbrowser",0,120,0.158333334034722,1,4,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.examples/activeqt/wrapper",0,100,0.27000000073,1,2,0,1,0,1,1,1,1,1,4,0,4,1,1,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,4,4,0,0,8,0,8,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/container",2,6293,0.218655649146374,7,1002,1,5,0,5,0.285714285714286,0.983321391363294,1,1,16,0,16,1,1,1,1,303.108490566038,420.405015681667,0.00609756097560976,0.010861746793775,38,38,0,0,31,17,14,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/control",1,4821,0.224227338742497,8,188,2,5,0,5,0.375,0.986382901367356,1,1,18,0,18,1,1,1,3,178.933333333333,574.790584220918,0.0256578947368421,0.0965040754153571,16,16,0,0.0178571428571429,33,16,17,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/doc/snippets",0,325,0.26153846176568,3,897,0,3,0,3,0.333333333333333,1,1,1,7,0,7,1,0,1,1,118.830769230769,523.728723629374,0.00609756097560976,0.00756822341591857,0,0,0,0,12,0,12,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/activeqt/shared",2,1257,0.246618934029704,4,130,1,3,0,3,0.5,0.985750934593318,1,1,13,0,13,1,0,1,1,520.038620283019,625.078831447929,0.00879590692458649,0.0118271987453121,15,15,0,0,26,12,14,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.src/tools/idc",0,264,0.238636363924759,1,2,0,1,0,1,1,1,1,1,4,0,4,1,0,0,1,1446.2093495935,1446.2093495935,0.00609756097560976,0.00609756097560976,5,5,0,0,9,0,9,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.tools/dumpcpp",0,1360,0.190441176530115,6,67,1,4,0,4,0.5,1,1,1,7,0,7,1,2,0,3,664.47619047619,726.430404911768,0.0252546689303905,0.108640832345748,7,9,0,0.0714285714285714,13,2,11,1,0,1,1,1,1,"qtactiveqt"
"qtactiveqt.tools/dumpdoc",0,91,0.186813187706799,2,7,0,2,0,2,0.5,1,1,1,5,0,5,1,1,0,2,744.604674796748,744.604674796748,0.016206675224647,0.016206675224647,4,4,0,0,10,0,10,1,0,1,1,1,1,"qtactiveqt"
"qtbase.doc/src/snippets/code",0,152,0.0328947374783587,4,262,1,2,0,2,0.5,0.987598080165204,1,1,11,0,11,1,1,0,0,154.043083556245,154.043083556245,0.00811375780718865,0.00811375780718865,62,62,0,0,51,35,16,0.96969696969697,0,1,0.977582498226906,0.96969696969697,0.908733960757566,"qtbase"
